Season,Lg,Tm,,,,,
2019-20,NBA,1st,Giannis Antetokounmpo,Anthony Davis,Ben Simmons,Rudy Gobert,Marcus Smart
2019-20,NBA,2nd,Kawhi Leonard,Brook Lopez,Bam Adebayo,Patrick Beverley,Eric Bledsoe
